         ps       /dss_tb/clkin      /dss_tb/testout       
          delta        /dss_tb/datain                      
                               /dss_tb/dataout             
          0  +0               U UUUUU UUUUUUUU UUUUU 
          0  +1               0 00010 UUUUUUUU UUUUU 
          0  +2               0 00010 00000000 00000 
       2500  +1               1 00010 00000000 00000 
       2500  +4               1 00010 00000000 00010 
       5000  +1               0 00010 00000000 00010 
       7500  +1               1 00010 00000000 00010 
       7500  +4               1 00010 00000000 00100 
      10000  +1               0 00010 00000000 00100 
      12500  +1               1 00010 00000000 00100 
      12500  +4               1 00010 00000011 00110 
      15000  +1               0 00010 00000011 00110 
      17500  +1               1 00010 00000011 00110 
      17500  +4               1 00010 00000110 01000 
      20000  +1               0 00010 00000110 01000 
      22500  +1               1 00010 00000110 01000 
      22500  +4               1 00010 00001000 01010 
      25000  +1               0 00010 00001000 01010 
      27500  +1               1 00010 00001000 01010 
      27500  +4               1 00010 00001011 01100 
      30000  +1               0 00010 00001011 01100 
      32500  +1               1 00010 00001011 01100 
      32500  +4               1 00010 00001101 01110 
      35000  +1               0 00010 00001101 01110 
      37500  +1               1 00010 00001101 01110 
      37500  +4               1 00010 00001110 10000 
      40000  +1               0 00010 00001110 10000 
      42500  +1               1 00010 00001110 10000 
      42500  +4               1 00010 00001111 10010 
      45000  +1               0 00010 00001111 10010 
      47500  +1               1 00010 00001111 10010 
      47500  +4               1 00010 00001111 10100 
      50000  +1               0 00010 00001111 10100 
      52500  +1               1 00010 00001111 10100 
      52500  +4               1 00010 00001111 10110 
      55000  +1               0 00010 00001111 10110 
      57500  +1               1 00010 00001111 10110 
      57500  +4               1 00010 00001110 11000 
      60000  +1               0 00010 00001110 11000 
      62500  +1               1 00010 00001110 11000 
      62500  +4               1 00010 00001100 11010 
      65000  +1               0 00010 00001100 11010 
      67500  +1               1 00010 00001100 11010 
      67500  +4               1 00010 00001010 11100 
      70000  +1               0 00010 00001010 11100 
      72500  +1               1 00010 00001010 11100 
      72500  +4               1 00010 00001000 11110 
      75000  +1               0 00010 00001000 11110 
      77500  +1               1 00010 00001000 11110 
      77500  +4               1 00010 00000101 00000 
      80000  +1               0 00010 00000101 00000 
      82500  +1               1 00010 00000101 00000 
      82500  +4               1 00010 00000010 00010 
      85000  +1               0 00010 00000010 00010 
      87500  +1               1 00010 00000010 00010 
      87500  +4               1 00010 00000000 00100 
      90000  +1               0 00010 00000000 00100 
